year,population,four_and_below
1991,63039751,14.9
1992,64543525,14.8
1993,66083321,14.7
1994,67650283,14.6
1995,69250468,14.4
1996,70944969,14.3
1997,72718837,14.1
1998,74491918,13.9
1999,76249064,13.7
2000,77958223,13.5
2001,79626086,13.4
2002,81285572,13.2
2003,82942837,13.1
2004,84607501,12.9
2005,86261250,12.8
2006,87901835,12.6
2007,89561377,12.4
2008,91252326,12.4
2009,92946951,12.3
2010,94636700,12.2
2011,96337913,12
2012,98032317,11.8
2013,99700107,11.6
2014,101325201,11.4
2015,103031365,11.3
2016,104875266,11.1
2017,106738501,10.9
2018,108568836,10.8
2019,110380804,10.7
2020,112190977,10.6
2021,113880328,10.5
